"id","mode","spec_id","name","mark","category","tools","methods","standards","limit_upper","limit_lower","unit","sampling_process_id"
"04u8ni0dquqkg","normal","04u8m506tjabk","刮花","qual","appearance","放大镜","使用放大镜观察表面是否有刮痕、凹槽等","无刮花",,,,"md-qsd.057i5phbhb94w"
"04u8ni0dvuj9c","normal","04u8m506tjabk","尺寸精度","quan","appearance","卡尺、千分尺","使用卡尺或千分尺测量产品关键尺寸","符合产品设计尺寸要求，尺寸偏差在规定范围内","120","100","mm","md-qsd.057i4psava22o"
"04u8ni0e3c8ao","normal","04u8m506tjabk","硬度","quan","performance","硬度计","使用硬度计在产品规定部位进行硬度测试","符合产品要求的硬度范围","20","10","[HRA/HRB/HRC 等]","md-qsd.057i4psava22o"
"04u8ni0e8c0zk","normal","04u8m506tjabk","密封性","qual","performance","密封测试仪、压力试验机","将产品置于密封测试仪或压力试验机中，施加一定压力，观察是否有泄漏现象","无泄漏",,,,"md-qsd.057i5phbhb94w"
"04u8ni0eftq0w","normal","04u8m506tjabk","绝缘电阻","quan","performance","绝缘电阻测试仪","使用绝缘电阻测试仪测量产品的绝缘电阻值","绝缘电阻值不低于规定值","10","0","MΩ","md-qsd.057i5rgxc0vls"
"04u8ni0ektips","normal","04u8m506tjabk","耐腐蚀性","qual","performance","盐雾试验箱","将产品放入盐雾试验箱中，按照规定的时间和条件进行盐雾试验，观察产品表面的腐蚀情况","无明显腐蚀现象",,,,"md-qsd.057i5rgxc0vls"
"04u8ni0eptbeo","normal","04u8m506tjabk","焊接强度","quan","performance","拉力试验机","使用拉力试验机对焊接部位进行拉伸试验，测量焊接处的断裂强度","焊接强度不低于规定值","10","1","N","md-qsd.057i5rgxc0vls"
"04u8ni0eut43k","normal","04u8m506tjabk","外观颜色","qual","appearance","色差仪","用色差仪测量产品颜色，并与标准色板进行对比","颜色与标准色板一致，色差在允许范围内","100","5",,"md-qsd.057i5q3q50t1c"
"04u8ni0exb0g0","normal","04u8m506tjabk","装配性","qual","function","无（主要通过人工操作）","将该产品与相关配套部件进行装配，检查是否能顺利装配，配合是否紧密","能顺利装配，无干涉、松动等现象",,,,"md-qsd.057i5rgxc0vls"
"04u8nxlrubpj4","normal","04u8nq5fzhqm8","螺丝螺纹精度","quan","function","螺纹规、千分尺","使用螺纹规检测螺纹牙型是否符合标准；用千分尺测量螺纹外径、中径，确保在公差范围内","符合对应国标（如 GB/T 196）的螺纹尺寸及公差要求","90","60","mm","md-qsd.057i5rgxc0vls"
"04u8nxlrwtlvk","normal","04u8nq5fzhqm8","金属板材硬度","quan","performance","洛氏硬度计、布氏硬度计","根据材料类型选择合适的硬度计（如钢材常用洛氏硬度），在板材表面不同位置测量硬度值","符合材料出厂硬度标准要求（如 Q235 钢材硬度需≥131HB）","200","100","HRB/HRC/HB（根据检测方法）","md-qsd.057i5rgxc0vls"
"04u8nxls1tekg","normal","04u8nq5fzhqm8","五金件镀锌层厚度","quan","function","磁性测厚仪","使用磁性测厚仪在五金件表面多个点位测量镀锌层厚度","镀锌层平均厚度≥8μm，局部厚度不低于 5μm","8","5","μm","md-qsd.057i5rgxc0vls"
"04u8nxls4baww","normal","04u8nq5fzhqm8","合页承重强度","quan","performance","拉力试验机、模拟安装夹具","将合页模拟安装后，通过拉力试验机施加规定重量的载荷，保持一定时间后观察合页是否变形或损坏","在额定承重（如 50kg）下持续 1 小时，合页无断裂、变形，开合功能正常","999","50","kg","md-qsd.057i5rgxc0vls"
"04u8nxls9b3ls","normal","04u8nq5fzhqm8","五金件表面划痕与锈斑","qual","function","目视、放大镜（5-10 倍）","在自然光或标准光源下，通过目视及放大镜检查表面是否存在划痕、锈斑、毛刺等缺陷","表面无明显划痕（长度＞5mm）、无锈斑，轻微划痕不超过 3 处且不影响功能",,,,"md-qsd.057i5rgxc0vls"
